"bldg_id","in.sqft","in.bedrooms","in.city","in.clothes_dryer","in.clothes_washer","in.cooking_range","in.county","in.dishwasher","in.water_heater_fuel","in.refrigerator","in.vacancy_status","in.income","in.occupants","in.heating_fuel","in.heating_setpoint","in.cooling_setpoint","in.hvac_cooling_efficiency","in.hvac_heating_efficiency"
364865,2176,4,"Not in a census Place","Electric, 100% Usage","Standard, 100% Usage","Gas, 100% Usage","G4500730","None","Electricity","EF 17.6, 100% Usage","Vacant","<10000","1","Electricity","55F","70F","AC, SEER 15","Electric Furnace, 100% AFUE"
365589,2663,4,"SC, Rock Hill","Gas, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500910","290 Rated kWh, 120% Usage","Natural Gas","EF 17.6, 100% Usage","Occupied","200000+","4","Natural Gas","72F","72F","AC, SEER 10","Fuel Furnace, 92.5% AFUE"
366252,1690,2,"Not in a census Place","Gas, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage","G4500910","None","Natural Gas","EF 15.9, 100% Usage","Occupied","60000-69999","2","Natural Gas","68F","75F","Room AC, EER 12.0","Fuel Wall/Floor Furnace, 60% AFUE"
367047,3301,3,"In another census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","None","Natural Gas","EF 17.6, 100% Usage","Occupied","200000+","4","Natural Gas","72F","76F","AC, SEER 13","Fuel Furnace, 80% AFUE"
367066,1690,3,"Not in a census Place","Electric, 120% Usage","Standard, 120% Usage","Electric, 120% Usage","G4500850","290 Rated kWh, 120% Usage","Propane","EF 17.6, 100% Usage","Occupied","40000-44999","2","Propane","67F","75F","AC, SEER 13","Fuel Furnace, 80% AFUE"
367665,2176,4,"In another census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","None","Natural Gas","EF 17.6, 100% Usage","Occupied","70000-79999","3","Natural Gas","75F","70F","AC, SEER 15","Fuel Furnace, 92.5% AFUE"
367678,3301,3,"In another census Place","Electric, 100% Usage","Standard, 100% Usage","Gas, 100% Usage","G4500910","None","Natural Gas","EF 17.6, 100% Usage","Occupied","140000-159999","2","Natural Gas","75F","75F","Room AC, EER 10.7","Fuel Wall/Floor Furnace, 68% AFUE"
368809,3301,4,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","None","Natural Gas","EF 17.6, 100% Usage","Occupied","140000-159999","4","Natural Gas","70F","80F","AC, SEER 13","Fuel Furnace, 92.5% AFUE"
369131,8194,3,"SC, Rock Hill","Electric, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage","G4500910","None","Natural Gas","EF 17.6, 100% Usage","Occupied","140000-159999","3","Natural Gas","70F","80F","AC, SEER 13","Fuel Furnace, 92.5% AFUE"
370360,2176,3,"SC, Sumter","Electric, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage","G4500850","290 Rated kWh, 80% Usage","Electricity","EF 15.9, 100% Usage","Vacant","<10000","1","Electricity","55F","78F","AC, SEER 15","Electric Furnace, 100% AFUE"
372296,1690,4,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage","G4500730","None","Electricity","EF 19.9, 100% Usage","Occupied","15000-19999","1","Natural Gas","68F","70F","None","Fuel Boiler, 80% AFUE"
372562,1690,3,"In another census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","318 Rated kWh, 100% Usage","Electricity","EF 17.6, 100% Usage","Occupied","40000-44999","4","Electricity","70F","68F","AC, SEER 13","Electric Furnace, 100% AFUE"
373223,1690,3,"In another census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","318 Rated kWh, 100% Usage","Electricity","EF 15.9, 100% Usage","Occupied","100000-119999","4","Electricity","65F","75F","Room AC, EER 10.7","Electric Baseboard, 100% Efficiency"
373568,885,2,"Not in a census Place","None","None","Electric, 100% Usage","G4500730","318 Rated kWh, 100% Usage","Electricity","EF 17.6, 100% Usage","Occupied","15000-19999","1","Electricity","78F","75F","AC, SEER 10","Electric Baseboard, 100% Efficiency"
373831,1690,2,"SC, Rock Hill","Electric, 120% Usage","Standard, 120% Usage","Electric, 120% Usage","G4500910","318 Rated kWh, 120% Usage","Natural Gas","EF 19.9, 100% Usage","Occupied","200000+","2","Natural Gas","78F","75F","AC, SEER 15","Fuel Furnace, 80% AFUE"
374460,1220,3,"In another census Place","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500730","None","Natural Gas","EF 17.6, 100% Usage","Occupied","80000-99999","3","Natural Gas","60F","75F","None","Fuel Furnace, 92.5% AFUE"
375796,3301,4,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","290 Rated kWh, 100% Usage","Electricity","EF 15.9, 100% Usage","Occupied","80000-99999","2","Propane","76F","78F","AC, SEER 10","Fuel Furnace, 80% AFUE"
376363,2176,4,"Not in a census Place","Electric, 80% Usage","Standard, 80% Usage","Electric, 80% Usage","G4500910","None","Electricity","EF 17.6, 100% Usage","Occupied","160000-179999","3","Electricity","65F","70F","AC, SEER 13","Electric Furnace, 100% AFUE"
376409,2663,4,"Not in a census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage","G4500910","290 Rated kWh, 80% Usage","Electricity","EF 15.9, 100% Usage","Occupied","200000+","4","Electricity","72F","65F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
376489,1220,3,"In another census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500730","None","Natural Gas","EF 17.6, 100% Usage","Occupied","<10000","1","Electricity","72F","70F","AC, SEER 13","Electric Furnace, 100% AFUE"
376771,2176,3,"In another census Place","Electric, 100% Usage","Standard, 100% Usage","Propane, 100% Usage","G4500850","318 Rated kWh, 100% Usage","Propane","EF 17.6, 100% Usage","Occupied","50000-59999","3","Propane","68F","75F","AC, SEER 10","Fuel Furnace, 92.5% AFUE"
377032,1220,3,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500910","None","Other Fuel","EF 17.6, 100% Usage","Occupied","100000-119999","3","Other Fuel","75F","75F","Room AC, EER 12.0","Other"
377372,3301,3,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500910","None","Electricity","EF 15.9, 100% Usage","Occupied","160000-179999","3","Electricity","72F","70F","AC, SEER 15","Electric Furnace, 100% AFUE"
