"bldg_id","in.sqft","in.bedrooms","in.city","in.clothes_dryer","in.clothes_washer","in.cooking_range","in.county","in.dishwasher","in.water_heater_fuel","in.refrigerator","in.vacancy_status","in.income","in.occupants","in.heating_fuel","in.heating_setpoint","in.cooling_setpoint","in.hvac_cooling_efficiency","in.hvac_heating_efficiency"
431234,2176,3,"SC, Rock Hill","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","318 Rated kWh, 100% Usage","Electricity","EF 17.6, 100% Usage","Occupied","100000-119999","3","Electricity","75F","72F","AC, SEER 10","Electric Furnace, 100% AFUE"
432306,1690,2,"In another census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage","G4500910","290 Rated kWh, 80% Usage","Natural Gas","EF 15.9, 100% Usage","Occupied","80000-99999","2","Natural Gas","70F","70F","AC, SEER 13","Fuel Furnace, 92.5% AFUE"
438259,2176,3,"In another census Place","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500910","290 Rated kWh, 100% Usage","Electricity","EF 10.2, 100% Usage","Occupied","60000-69999","2","Electricity","65F","75F","AC, SEER 15","Electric Furnace, 100% AFUE"
438319,1690,3,"SC, Rock Hill","Electric, 80% Usage","Standard, 80% Usage","Electric, 80% Usage","G4500910","318 Rated kWh, 80% Usage","Natural Gas","EF 17.6, 100% Usage","Occupied","60000-69999","2","Natural Gas","78F","76F","AC, SEER 13","Fuel Furnace, 80% AFUE"
439099,1220,3,"Not in a census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage","G4500730","290 Rated kWh, 80% Usage","Electricity","EF 17.6, 100% Usage","Occupied","100000-119999","3","Propane","68F","75F","AC, SEER 13","Fuel Furnace, 80% AFUE"
440543,2176,5,"SC, Sumter","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500850","None","Electricity","EF 17.6, 100% Usage","Occupied","60000-69999","4","Electricity","68F","80F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
440966,1220,2,"In another census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500850","290 Rated kWh, 100% Usage","Natural Gas","EF 15.9, 100% Usage","Occupied","25000-29999","1","Natural Gas","72F","78F","AC, SEER 13","Fuel Furnace, 76% AFUE"
441515,885,3,"In another census Place","Electric, 120% Usage","Standard, 120% Usage","Electric, 120% Usage","G4500730","290 Rated kWh, 120% Usage","Electricity","EF 6.7, 100% Usage","Occupied","60000-69999","1","Fuel Oil","78F","75F","AC, SEER 13","Fuel Furnace, 80% AFUE"
441648,2663,2,"In another census Place","None","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","None","Natural Gas","EF 17.6, 100% Usage","Occupied","120000-139999","4","Natural Gas","68F","70F","AC, SEER 15","Fuel Furnace, 92.5% AFUE"
441683,1690,3,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500910","318 Rated kWh, 120% Usage","Electricity","EF 17.6, 100% Usage","Occupied","30000-34999","1","Electricity","68F","60F","Heat Pump","ASHP, SEER 15, 8.5 HSPF"
441732,1220,2,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage","G4500730","None","Natural Gas","EF 19.9, 100% Usage","Occupied","25000-29999","1","Natural Gas","72F","72F","AC, SEER 13","Fuel Furnace, 92.5% AFUE"
441810,885,3,"Not in a census Place","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500730","None","Natural Gas","EF 19.9, 100% Usage","Occupied","25000-29999","4","Natural Gas","68F","75F","AC, SEER 10","Fuel Furnace, 92.5% AFUE"
442668,2176,4,"Not in a census Place","Electric, 120% Usage","Standard, 120% Usage","Gas, 120% Usage","G4500910","318 Rated kWh, 120% Usage","Natural Gas","EF 17.6, 100% Usage","Occupied","60000-69999","6","Natural Gas","68F","70F","Room AC, EER 9.8","Fuel Furnace, 92.5% AFUE"
443899,1690,3,"SC, Rock Hill","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","None","Natural Gas","EF 17.6, 100% Usage","Occupied","20000-24999","1","Natural Gas","70F","68F","AC, SEER 15","Fuel Furnace, 80% AFUE"
444243,2176,4,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500850","318 Rated kWh, 120% Usage","Electricity","EF 17.6, 100% Usage","Occupied","50000-59999","7","Electricity","75F","70F","AC, SEER 15","Electric Baseboard, 100% Efficiency"
444570,1220,3,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500850","290 Rated kWh, 120% Usage","Electricity","EF 17.6, 100% Usage","Vacant","20000-24999","1","Electricity","55F","72F","AC, SEER 13","Electric Furnace, 100% AFUE"
445342,885,3,"Not in a census Place","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500730","None","Natural Gas","EF 17.6, 100% Usage","Occupied","35000-39999","1","Natural Gas","68F","70F","AC, SEER 13","Fuel Furnace, 92.5% AFUE"
447151,1690,3,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage","G4500910","290 Rated kWh, 100% Usage","Natural Gas","EF 17.6, 100% Usage","Occupied","200000+","4","Natural Gas","68F","70F","AC, SEER 13","Fuel Furnace, 80% AFUE"
448517,2176,4,"SC, Sumter","Electric, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage","G4500850","290 Rated kWh, 100% Usage","Electricity","EF 15.9, 100% Usage","Occupied","25000-29999","1","Fuel Oil","72F","72F","AC, SEER 13","Fuel Furnace, 80% AFUE"
451017,2176,3,"SC, Rock Hill","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","290 Rated kWh, 100% Usage","Electricity","EF 19.9, 100% Usage","Occupied","180000-199999","3","Electricity","76F","75F","Room AC, EER 10.7","Electric Furnace, 100% AFUE"
452116,1690,3,"In another census Place","Gas, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500910","318 Rated kWh, 100% Usage","Natural Gas","EF 19.9, 100% Usage","Occupied","100000-119999","2","Natural Gas","72F","72F","AC, SEER 10","Fuel Furnace, 80% AFUE"
452726,8194,4,"In another census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500730","None","Natural Gas","EF 6.7, 100% Usage","Occupied","100000-119999","2","Electricity","75F","70F","AC, SEER 13","Electric Furnace, 100% AFUE"
452781,1220,3,"Not in a census Place","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500850","290 Rated kWh, 100% Usage","Electricity","EF 17.6, 100% Usage","Occupied","80000-99999","2","Electricity","68F","78F","AC, SEER 13","Electric Furnace, 100% AFUE"
454130,1690,3,"SC, Sumter","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500850","None","Electricity","EF 17.6, 100% Usage","Occupied","80000-99999","3","Electricity","70F","70F","AC, SEER 13","Electric Furnace, 100% AFUE"
455287,2176,4,"SC, Rock Hill","Electric, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage","G4500910","None","Natural Gas","EF 17.6, 100% Usage","Occupied","100000-119999","9","Natural Gas","76F","75F","AC, SEER 15","Fuel Boiler, 80% AFUE"
455720,1690,3,"In another census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500910","318 Rated kWh, 120% Usage","Electricity","EF 17.6, 100% Usage","Occupied","120000-139999","4","Electricity","75F","70F","AC, SEER 13","Electric Furnace, 100% AFUE"
456345,3301,3,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage","G4500910","None","Natural Gas","EF 15.9, 100% Usage","Occupied","200000+","2","Natural Gas","75F","78F","AC, SEER 15","Fuel Furnace, 92.5% AFUE"
456517,1690,4,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500730","None","Electricity","EF 17.6, 100% Usage","Occupied","30000-34999","2","Electricity","68F","68F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
457740,1690,2,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage","G4500910","None","Natural Gas","EF 17.6, 100% Usage","Occupied","80000-99999","4","Natural Gas","65F","72F","AC, SEER 15","Fuel Furnace, 92.5% AFUE"
458850,1220,2,"In another census Place","Electric, 100% Usage","Standard, 100% Usage","Gas, 100% Usage","G4500850","290 Rated kWh, 100% Usage","Natural Gas","EF 17.6, 100% Usage","Vacant","70000-79999","1","Natural Gas","55F","75F","AC, SEER 13","Fuel Furnace, 80% AFUE"
460191,2176,3,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500850","None","Electricity","EF 17.6, 100% Usage","Occupied","120000-139999","3","Natural Gas","75F","78F","AC, SEER 13","Fuel Furnace, 92.5% AFUE"
460245,3301,4,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage","G4500910","290 Rated kWh, 120% Usage","Natural Gas","EF 17.6, 100% Usage","Occupied","60000-69999","3","Natural Gas","75F","72F","AC, SEER 13","Fuel Furnace, 92.5% AFUE"
460712,1690,3,"Not in a census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage","G4500910","None","Natural Gas","EF 15.9, 100% Usage","Occupied","25000-29999","3","Natural Gas","72F","70F","AC, SEER 15","Fuel Furnace, 80% AFUE"
461693,2663,3,"SC, Rock Hill","Electric, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage","G4500910","None","Natural Gas","EF 17.6, 100% Usage","Vacant","70000-79999","3","Natural Gas","55F","70F","AC, SEER 10","Fuel Boiler, 76% AFUE"
462221,1690,3,"SC, Rock Hill","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","318 Rated kWh, 100% Usage","Electricity","EF 10.5, 100% Usage","Occupied","40000-44999","2","Natural Gas","70F","72F","AC, SEER 10","Fuel Furnace, 80% AFUE"
462386,1220,3,"SC, Sumter","Electric, 80% Usage","Standard, 80% Usage","Electric, 80% Usage","G4500850","318 Rated kWh, 80% Usage","Electricity","EF 15.9, 100% Usage","Occupied","20000-24999","4","Fuel Oil","70F","70F","AC, SEER 10","Fuel Furnace, 80% AFUE"
463120,1690,3,"SC, Rock Hill","Electric, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage","G4500910","290 Rated kWh, 120% Usage","Natural Gas","EF 15.9, 100% Usage","Occupied","60000-69999","2","Natural Gas","68F","70F","AC, SEER 10","Fuel Wall/Floor Furnace, 68% AFUE"
463389,885,2,"In another census Place","Electric, 100% Usage","Standard, 100% Usage","Gas, 100% Usage","G4500730","None","Natural Gas","EF 17.6, 100% Usage","Occupied","60000-69999","2","Natural Gas","70F","72F","AC, SEER 13","Fuel Furnace, 80% AFUE"
463916,1690,4,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500730","None","Natural Gas","EF 17.6, 100% Usage","Occupied","70000-79999","1","Natural Gas","70F","75F","AC, SEER 15","Fuel Furnace, 80% AFUE"
464997,2663,4,"SC, Sumter","Electric, 80% Usage","Standard, 80% Usage","Electric, 80% Usage","G4500850","290 Rated kWh, 80% Usage","Electricity","EF 17.6, 100% Usage","Occupied","70000-79999","2","Electricity","68F","78F","AC, SEER 13","Electric Furnace, 100% AFUE"
465708,1690,2,"Not in a census Place","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500850","None","Electricity","EF 15.9, 100% Usage","Occupied","50000-59999","1","Electricity","70F","80F","Room AC, EER 10.7","Electric Baseboard, 100% Efficiency"
465725,2176,3,"SC, Rock Hill","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","318 Rated kWh, 100% Usage","Electricity","EF 17.6, 100% Usage","Occupied","100000-119999","1","Electricity","70F","72F","Heat Pump","ASHP, SEER 15, 8.5 HSPF"
466226,2176,4,"In another census Place","Electric, 120% Usage","Standard, 120% Usage","Electric, 120% Usage","G4500850","318 Rated kWh, 120% Usage","Electricity","EF 17.6, 100% Usage","Occupied","50000-59999","1","Other Fuel","67F","78F","AC, SEER 13","Other"
466526,1690,3,"SC, Sumter","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500850","None","Electricity","EF 17.6, 100% Usage","Occupied","30000-34999","2","Electricity","68F","70F","AC, SEER 13","Electric Furnace, 100% AFUE"
466982,3301,4,"Not in a census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage","G4500730","290 Rated kWh, 80% Usage","Natural Gas","EF 19.9, 100% Usage","Occupied","200000+","7","Electricity","67F","76F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
468162,2663,4,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","None","Electricity","EF 15.9, 100% Usage","Vacant","45000-49999","5","Electricity","55F","78F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
468884,2663,3,"Not in a census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage","G4500910","290 Rated kWh, 80% Usage","Electricity","EF 17.6, 100% Usage","Occupied","180000-199999","3","Electricity","60F","70F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
469546,2663,3,"Not in a census Place","Propane, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage","G4500910","290 Rated kWh, 80% Usage","Electricity","EF 17.6, 100% Usage","Occupied","15000-19999","2","Other Fuel","78F","72F","AC, SEER 13","Other"
470125,1220,1,"SC, Sumter","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500850","None","Electricity","EF 10.5, 100% Usage","Occupied","15000-19999","1","Electricity","70F","80F","AC, SEER 10","Electric Furnace, 100% AFUE"
471145,885,3,"Not in a census Place","Electric, 120% Usage","Standard, 120% Usage","Electric, 120% Usage","G4500850","290 Rated kWh, 120% Usage","Electricity","EF 17.6, 100% Usage","Occupied","10000-14999","4","Electricity","68F","70F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
471309,3301,5,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage","G4500730","None","Electricity","EF 19.9, 100% Usage","Occupied","200000+","2","Electricity","68F","60F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
473660,3301,4,"In another census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","None","Electricity","EF 10.5, 100% Usage","Occupied","200000+","2","Electricity","78F","76F","AC, SEER 13","Electric Furnace, 100% AFUE"
474649,885,3,"SC, Rock Hill","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500910","318 Rated kWh, 120% Usage","Electricity","EF 17.6, 100% Usage","Occupied","80000-99999","3","Electricity","70F","60F","AC, SEER 13","Electric Baseboard, 100% Efficiency"
475845,1220,3,"Not in a census Place","Electric, 120% Usage","Standard, 120% Usage","Electric, 120% Usage","G4500850","318 Rated kWh, 120% Usage","Electricity","EF 19.9, 100% Usage","Occupied","15000-19999","2","Electricity","75F","72F","Room AC, EER 12.0","Electric Baseboard, 100% Efficiency"
475883,2176,4,"In another census Place","None","None","Electric, 100% Usage","G4500910","None","Natural Gas","EF 19.9, 100% Usage","Occupied","<10000","1","Electricity","78F","70F","AC, SEER 13","Electric Furnace, 100% AFUE"
476264,1690,3,"In another census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage","G4500910","318 Rated kWh, 80% Usage","Natural Gas","EF 17.6, 100% Usage","Occupied","80000-99999","2","Natural Gas","72F","78F","AC, SEER 13","Fuel Furnace, 76% AFUE"
477209,1220,3,"SC, Rock Hill","Electric, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage","G4500910","290 Rated kWh, 120% Usage","Electricity","EF 19.9, 100% Usage","Occupied","25000-29999","1","Electricity","68F","68F","AC, SEER 15","Electric Furnace, 100% AFUE"
478690,1220,3,"SC, Rock Hill","Electric, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage","G4500910","318 Rated kWh, 120% Usage","Electricity","EF 19.9, 100% Usage","Occupied","<10000","1","Natural Gas","75F","70F","AC, SEER 13","Fuel Furnace, 80% AFUE"
479642,1220,3,"SC, Rock Hill","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","None","Electricity","EF 17.6, 100% Usage","Occupied","35000-39999","2","Electricity","68F","76F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
479696,1690,3,"SC, Rock Hill","None","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","318 Rated kWh, 100% Usage","Electricity","EF 17.6, 100% Usage","Occupied","120000-139999","4","Electricity","76F","78F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
480178,2176,3,"In another census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500910","None","Electricity","EF 17.6, 100% Usage","Occupied","200000+","5","Natural Gas","75F","78F","AC, SEER 8","Fuel Furnace, 76% AFUE"
483016,3301,4,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500850","290 Rated kWh, 120% Usage","Electricity","EF 17.6, 100% Usage","Occupied","200000+","2","Electricity","72F","78F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
483732,1690,3,"SC, Rock Hill","Gas, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500910","None","Natural Gas","EF 17.6, 100% Usage","Occupied","50000-59999","3","Natural Gas","68F","78F","AC, SEER 13","Fuel Furnace, 92.5% AFUE"
484415,1690,4,"SC, Rock Hill","Electric, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage","G4500910","290 Rated kWh, 80% Usage","Natural Gas","EF 17.6, 100% Usage","Occupied","80000-99999","2","Natural Gas","70F","75F","AC, SEER 13","Fuel Furnace, 92.5% AFUE"
484631,1220,4,"In another census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage","G4500850","None","Electricity","EF 17.6, 100% Usage","Occupied","20000-24999","3","Natural Gas","65F","75F","Room AC, EER 9.8","Fuel Furnace, 92.5% AFUE"
486719,1220,2,"Not in a census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage","G4500910","290 Rated kWh, 80% Usage","Electricity","EF 15.9, 100% Usage","Occupied","40000-44999","2","Electricity","72F","72F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
489750,2176,4,"Not in a census Place","None","Standard, 100% Usage","Gas, 100% Usage","G4500730","None","Natural Gas","EF 17.6, 100% Usage","Occupied","70000-79999","1","Natural Gas","72F","76F","AC, SEER 10","Fuel Furnace, 80% AFUE"
491231,885,3,"In another census Place","Electric, 120% Usage","Standard, 120% Usage","Electric, 120% Usage","G4500910","290 Rated kWh, 120% Usage","Natural Gas","EF 17.6, 100% Usage","Occupied","20000-24999","2","Natural Gas","75F","70F","AC, SEER 13","Fuel Furnace, 80% AFUE"
491769,2663,3,"SC, Rock Hill","Electric, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage","G4500910","290 Rated kWh, 100% Usage","Natural Gas","EF 17.6, 100% Usage","Occupied","200000+","2","Electricity","75F","70F","AC, SEER 13","Electric Furnace, 100% AFUE"
494246,2663,4,"Not in a census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage","G4500730","None","Natural Gas","EF 19.9, 100% Usage","Occupied","140000-159999","2","Electricity","75F","62F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
495287,1220,3,"In another census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500850","None","Electricity","EF 17.6, 100% Usage","Occupied","80000-99999","1","Electricity","70F","75F","AC, SEER 15","Electric Baseboard, 100% Efficiency"
497556,2176,4,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500730","318 Rated kWh, 100% Usage","Electricity","EF 15.9, 100% Usage","Vacant","50000-59999","2","Electricity","55F","70F","AC, SEER 15","Electric Furnace, 100% AFUE"
499460,1690,4,"Not in a census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage","G4500910","None","Natural Gas","EF 15.9, 100% Usage","Occupied","120000-139999","2","Natural Gas","68F","60F","AC, SEER 15","Fuel Furnace, 80% AFUE"
499505,2176,4,"Not in a census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage","G4500850","290 Rated kWh, 80% Usage","Electricity","EF 17.6, 100% Usage","Occupied","<10000","1","Electricity","68F","75F","AC, SEER 15","Electric Furnace, 100% AFUE"
500401,1690,3,"Not in a census Place","Electric, 120% Usage","Standard, 120% Usage","Electric, 120% Usage","G4500910","None","Electricity","EF 17.6, 100% Usage","Occupied","120000-139999","4","Electricity","76F","78F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
501014,2176,3,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500730","290 Rated kWh, 100% Usage","Propane","EF 17.6, 100% Usage","Occupied","120000-139999","3","Propane","70F","75F","AC, SEER 13","Fuel Furnace, 92.5% AFUE"
504288,8194,4,"SC, Rock Hill","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","290 Rated kWh, 100% Usage","Natural Gas","EF 17.6, 100% Usage","Occupied","45000-49999","1","Electricity","70F","75F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
505504,1690,3,"Not in a census Place","None","EnergyStar, 100% Usage","Electric, 100% Usage","G4500730","318 Rated kWh, 100% Usage","Electricity","EF 17.6, 100% Usage","Occupied","40000-44999","2","Natural Gas","65F","75F","AC, SEER 10","Fuel Furnace, 80% AFUE"
507418,1690,3,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500730","318 Rated kWh, 100% Usage","Electricity","EF 15.9, 100% Usage","Occupied","180000-199999","2","Electricity","70F","70F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
507424,2663,4,"In another census Place","Electric, 120% Usage","Standard, 120% Usage","Electric, 120% Usage","G4500910","290 Rated kWh, 120% Usage","Electricity","EF 17.6, 100% Usage","Occupied","200000+","2","Electricity","68F","75F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
509347,1690,4,"Not in a census Place","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500910","None","Electricity","EF 17.6, 100% Usage","Occupied","20000-24999","4","Propane","70F","76F","AC, SEER 15","Fuel Furnace, 92.5% AFUE"
510566,1690,3,"SC, Sumter","Electric, 80% Usage","Standard, 80% Usage","Electric, 80% Usage","G4500850","290 Rated kWh, 80% Usage","Natural Gas","EF 17.6, 100% Usage","Occupied","30000-34999","1","Natural Gas","68F","78F","AC, SEER 15","Fuel Furnace, 76% AFUE"
510953,2176,3,"SC, Sumter","Electric, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage","G4500850","None","Natural Gas","EF 17.6, 100% Usage","Occupied","15000-19999","2","Natural Gas","68F","70F","AC, SEER 15","Fuel Furnace, 80% AFUE"
511025,1690,4,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500730","318 Rated kWh, 120% Usage","Electricity","EF 17.6, 100% Usage","Occupied","40000-44999","4","Electricity","68F","75F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
516925,1690,3,"SC, Rock Hill","Electric, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage","G4500910","290 Rated kWh, 100% Usage","Electricity","EF 17.6, 100% Usage","Occupied","30000-34999","2","Natural Gas","68F","78F","AC, SEER 13","Fuel Furnace, 76% AFUE"
517489,1690,4,"In another census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500730","290 Rated kWh, 120% Usage","Electricity","EF 6.7, 100% Usage","Occupied","200000+","4","Electricity","72F","75F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
517831,1220,3,"In another census Place","Gas, 100% Usage","Standard, 100% Usage","Gas, 100% Usage","G4500910","None","Electricity","EF 6.7, 100% Usage","Occupied","70000-79999","5","Natural Gas","68F","75F","AC, SEER 13","Fuel Furnace, 92.5% AFUE"
518651,1690,3,"In another census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500850","318 Rated kWh, 120% Usage","Electricity","EF 15.9, 100% Usage","Occupied","15000-19999","4","Electricity","72F","76F","Heat Pump","ASHP, SEER 15, 8.5 HSPF"
518719,2176,3,"Not in a census Place","Electric, 80% Usage","Standard, 80% Usage","Electric, 80% Usage","G4500730","None","Electricity","EF 17.6, 100% Usage","Occupied","80000-99999","2","Electricity","78F","72F","AC, SEER 13","Electric Furnace, 100% AFUE"
520898,2176,3,"Not in a census Place","Electric, 80% Usage","Standard, 80% Usage","Electric, 80% Usage","G4500910","318 Rated kWh, 80% Usage","Electricity","EF 17.6, 100% Usage","Occupied","50000-59999","5","Electricity","67F","70F","AC, SEER 13","Electric Furnace, 100% AFUE"
521401,1690,2,"SC, Sumter","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500850","None","Electricity","EF 19.9, 100% Usage","Occupied","<10000","1","Electricity","68F","75F","AC, SEER 13","Electric Furnace, 100% AFUE"
523436,1220,3,"In another census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500730","None","Electricity","EF 17.6, 100% Usage","Occupied","35000-39999","1","Electricity","75F","78F","AC, SEER 13","Electric Furnace, 100% AFUE"
523538,1220,3,"In another census Place","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500850","290 Rated kWh, 100% Usage","Natural Gas","EF 17.6, 100% Usage","Vacant","100000-119999","3","Electricity","55F","68F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
524146,885,2,"Not in a census Place","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500850","318 Rated kWh, 100% Usage","Electricity","EF 19.9, 100% Usage","Occupied","35000-39999","1","Electricity","72F","78F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
524365,885,3,"SC, Rock Hill","Electric, 80% Usage","Standard, 80% Usage","Electric, 80% Usage","G4500910","None","Electricity","EF 17.6, 100% Usage","Occupied","70000-79999","4","Electricity","70F","70F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
525056,3301,3,"SC, Rock Hill","Electric, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage","G4500910","None","Electricity","EF 10.5, 100% Usage","Occupied","50000-59999","2","Electricity","70F","80F","AC, SEER 15","Electric Furnace, 100% AFUE"
525736,2663,4,"Not in a census Place","Electric, 100% Usage","Standard, 100% Usage","Gas, 100% Usage","G4500910","318 Rated kWh, 100% Usage","Natural Gas","EF 17.6, 100% Usage","Occupied","50000-59999","3","Natural Gas","70F","72F","AC, SEER 13","Fuel Furnace, 80% AFUE"
525868,1690,3,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500730","None","Electricity","EF 17.6, 100% Usage","Occupied","70000-79999","2","Electricity","70F","75F","AC, SEER 10","Electric Furnace, 100% AFUE"
526169,2176,3,"Not in a census Place","None","EnergyStar, 120% Usage","Electric, 120% Usage","G4500850","290 Rated kWh, 120% Usage","Electricity","EF 19.9, 100% Usage","Occupied","120000-139999","4","Electricity","70F","70F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
528305,1690,3,"Not in a census Place","Gas, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500730","318 Rated kWh, 100% Usage","Natural Gas","EF 17.6, 100% Usage","Occupied","30000-34999","2","Natural Gas","70F","68F","Room AC, EER 8.5","Fuel Furnace, 92.5% AFUE"
